Price      ,Close              ,Close              ,Close              ,Close              ,Close              ,High               ,High               ,High               ,High               ,High               ,Low                ,Low                ,Low                ,Low                ,Low                ,Open               ,Open               ,Open               ,Open               ,Open               ,Volume   ,Volume   ,Volume  ,Volume  ,Volume
Ticker     ,VOO                ,VTI                ,VTV                ,VUG                ,VYM                ,VOO                ,VTI                ,VTV                ,VUG                ,VYM                ,VOO                ,VTI                ,VTV                ,VUG                ,VYM                ,VOO                ,VTI                ,VTV                ,VUG                ,VYM                ,VOO      ,VTI      ,VTV     ,VUG     ,VYM
Date       ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,                   ,         ,         ,        ,        ,
2020-08-31 ,299.9718322753906  ,165.87144470214844 ,96.20795440673828  ,232.9169921875     ,72.90328979492188  ,301.6631546311528  ,166.6761014297319  ,96.98562965260699  ,234.11412940777734 ,73.43403392650832  ,299.7662557644702  ,165.5626795800348  ,96.20795440673828  ,231.77824973145655 ,72.90328979492188  ,300.86890896848735 ,166.22699501431    ,96.98562965260699  ,232.30381746072246 ,73.34702810650303  ,5068000  ,3189600  ,1319900 ,764400  ,1573400
2020-09-01 ,302.7751770019531  ,167.34042358398438 ,96.19007873535156  ,236.479248046875   ,72.85110473632812  ,302.84994766228914 ,167.47141355527745 ,96.19901941248263  ,236.52791530629108 ,72.87720582464652  ,299.89713394535016 ,165.76852965163116 ,95.64481336591075  ,233.40366140619253 ,72.47697364815089  ,300.71008664743226 ,166.25506994936384 ,96.11856695778     ,234.6202686357825  ,72.80759849705073  ,3008000  ,2877700  ,1395700 ,927200  ,2038100
2020-09-02 ,307.18560791015625 ,169.57659912109375 ,97.87055206298828  ,238.9221649169922  ,74.1126937866211   ,308.0546525913919  ,169.9789203161718  ,98.17447366889796  ,239.50614226630938 ,74.32150909682618  ,303.4852598582508  ,167.4900968721272  ,96.21688163180244  ,234.81489815330116 ,72.92069339121731  ,304.5692059576256  ,168.41639216871553 ,96.44035079330693  ,238.89296753464242 ,73.0599080234334   ,5273100  ,4021900  ,2844000 ,1490400 ,2200900
2020-09-03 ,296.5518493652344  ,163.6820068359375  ,96.11857604980469  ,227.6807403564453  ,72.7467041015625   ,306.0363737225131  ,168.87484795163124 ,98.8180879407056   ,236.1093989594972  ,74.82617518316113  ,294.16905496528517 ,162.34402486923332 ,95.42135320187663  ,225.52978705234727 ,72.2246623465135   ,305.5691568976876  ,168.4163760106091  ,98.04041263046479  ,235.8952748951305  ,74.25192460592247  ,6892000  ,5341400  ,2561100 ,2310200 ,2272800
2020-09-04 ,294.17840576171875 ,162.28787231445312 ,96.10962677001953  ,224.0601043701172  ,72.80760192871094  ,298.6449974259149  ,164.80476352470072 ,97.17334230266266  ,228.99465507688893 ,73.60806631943072  ,286.77767877621034 ,158.31137494073315 ,94.91183517842013  ,216.23487913587758 ,71.95492872077348  ,296.9349678932222  ,164.05624351663417 ,96.77110048631684  ,226.91182430232325 ,73.23393521361945  ,5133900  ,4379900  ,1872700 ,1773500 ,2209600
2020-09-08 ,286.09552001953125 ,157.73129272460938 ,94.40233612060547  ,215.68983459472656 ,71.31977081298828  ,290.2257001603015  ,160.03297517855682 ,95.69845484507023  ,220.90664629947938 ,72.52916981779008  ,285.79649445263317 ,157.52544934718867 ,94.21462279759784  ,215.45624069111295 ,71.11095548561548  ,289.06701173438097 ,159.3406058879898  ,95.69845484507023  ,217.04270106110587 ,72.48566358211593  ,4278300  ,3976000  ,1819200 ,1297000 ,2758500
2020-09-09 ,291.73956298828125 ,160.81893920898438 ,95.50178527832031  ,221.64634704589844 ,72.1463394165039   ,294.0289371600175  ,161.9978487635696  ,96.31521636518036  ,223.33986950071386 ,72.73798840232011  ,289.01103231515316 ,159.3686841503792  ,95.01015717525972  ,218.18145234973082 ,71.7287087430571   ,289.81463167938836 ,159.83650744174645 ,95.11742483652621  ,219.74844291189214 ,71.83311309235886  ,3339800  ,4290400  ,2396500 ,1229200 ,2178900
2020-09-10 ,286.63751220703125 ,158.18043518066406 ,94.11628723144531  ,217.4612274169922  ,70.9978256225586   ,294.0755958186786  ,162.32535765235204 ,95.94873054340883  ,224.7316731382958  ,72.37254004145801  ,285.7684957866345  ,157.7500456763792  ,93.95538913783372  ,216.58527618478098 ,70.86731358362951  ,293.4588662090468  ,161.92302213121317 ,95.71632749021101  ,223.8557219060846  ,72.3464389612958   ,3589000  ,3507600  ,3793700 ,1111600 ,2690900
2020-09-11 ,286.8524475097656  ,158.23655700683594 ,94.75093841552734  ,216.64361572265625 ,71.51988220214844  ,289.2913056088804  ,159.5838904682145  ,95.10849049047705  ,219.74839884157626 ,71.80700742063702  ,284.2266912770089  ,156.7208140012025  ,94.02690040806466  ,214.0546727302672  ,71.02394166026792  ,288.3194866439146  ,159.28449096392754 ,94.54534375601622  ,219.25202858335535 ,71.18925738693457  ,3690100  ,3407700  ,1877700 ,1020100 ,2010800
2020-09-14 ,290.5808410644531  ,160.7066192626953  ,95.9129638671875   ,220.0988311767578  ,72.33776092529297  ,292.2441318653387  ,161.27736413328785 ,96.37777670799822  ,221.6658217732408  ,72.6944935101606   ,289.3099964377542  ,159.62128029760748 ,95.29618681827216  ,218.87249652126908 ,71.91142764909044  ,289.74918140568394 ,159.99553314393694 ,95.4123883235405   ,219.5245961687151  ,71.99843349184928  ,3056100  ,3080800  ,1265600 ,788900  ,1898700
2020-09-15 ,292.075927734375   ,161.6235809326172  ,95.73418426513672  ,222.69754028320312 ,72.19854736328125  ,293.65512285668586 ,162.4656570686693  ,96.5476152596421   ,223.76816069386376 ,72.82499336593749  ,291.0947553089831  ,161.0341190712812  ,95.59116755275727  ,221.568525095809   ,72.09413637711198  ,292.91691230138844 ,162.0539703259478  ,96.35096131285015  ,222.85326958860176 ,72.72928495481227  ,2570900  ,2129700  ,2051700 ,855100  ,1616600
2020-09-16 ,290.8985290527344  ,161.0902557373047  ,96.33309173583984  ,220.11827087402344 ,72.61617279052734  ,294.51478261304356 ,163.1580407782773  ,97.28953955962712  ,223.92382106538474 ,73.36443487543391  ,290.6462422403818  ,160.99669965366817 ,95.95766514775248  ,219.97226912597168 ,72.29424391833102  ,293.2346131115027  ,162.2972477139257  ,96.16325979536501  ,223.55396779171156 ,72.51176181189412  ,2313400  ,2826900  ,2188400 ,809100  ,1512300
2020-09-17 ,288.3568420410156  ,159.7616729736328  ,95.9129638671875   ,217.19842529296875 ,72.37255859375     ,289.9266835407053  ,160.50082757996086 ,96.27944973441063  ,218.6096864897317  ,72.55527283984127  ,285.899277273654   ,158.3301346742004  ,94.85818918485126  ,214.8820007354609  ,71.48508845014676  ,286.3852009640211  ,158.64825112366637 ,95.34981723305181  ,215.38811342263912 ,71.8940165410445   ,2848300  ,2780400  ,1759200 ,862100  ,1643600
2020-09-18 ,285.00225830078125 ,158.20848083496094 ,95.18892669677734  ,214.55108642578125 ,71.7983169555664   ,289.18853124607904 ,160.19206134357583 ,96.11855927165408  ,218.44422894165126 ,72.45087075958064  ,282.7128844913767  ,156.74887441709706 ,94.78668491464494  ,211.84535356534442 ,71.44159099452799  ,289.15114591606573 ,160.19206134357583 ,96.02917296670664  ,218.44422894165126 ,72.43347224557998  ,3420800  ,3178000  ,1883100 ,897600  ,1698000
2020-09-21 ,281.9092712402344  ,156.2998046875     ,93.11514282226562  ,214.51211547851562 ,70.32837677001953  ,281.9653349741416  ,156.30915601607148 ,93.88387740100919  ,214.51211547851562 ,70.90757550438359  ,277.3679091771958  ,153.69870766087521 ,91.99779684382891  ,209.11039290447223 ,69.49468892605661  ,280.76926112303664 ,155.75712781676594 ,93.83024697636058  ,211.16402587689444 ,70.83736837985705  ,4536800  ,4175300  ,2224400 ,1492200 ,2766800
2020-09-22 ,284.75927734375    ,157.85293579101562 ,93.19558715820312  ,218.0354461669922  ,70.41612243652344  ,285.2264941293198  ,158.0587648974055  ,93.80342359029727  ,218.4539518500761  ,70.90756554385528  ,280.95615438186553 ,155.66351201280798 ,92.65032182265963  ,213.8405875706871  ,70.00366400701878  ,283.23614606012853 ,156.96406014671837 ,93.19558715820312  ,216.07913258923224 ,70.38101887919125  ,2741500  ,2090900  ,1829500 ,844600  ,1285000
2020-09-23 ,278.1622009277344  ,154.04486083984375 ,91.47042846679688  ,211.97186279296875 ,69.10856628417969  ,285.51618915989513 ,158.24591935495985 ,93.74087670184063  ,218.2203693698748  ,70.86370447552393  ,277.6856591595454  ,153.77352959851464 ,91.36316077940668  ,211.49496235707784 ,69.06468515126774  ,285.26390234144213 ,158.12428072427718 ,93.41908045940987  ,218.17170211998646 ,70.60920863434052  ,2755800  ,2071400  ,1603400 ,754500  ,2087800
2020-09-24 ,278.928466796875   ,154.37232971191406 ,91.60448455810547  ,212.5655975341797  ,69.2840805053711   ,281.6943826370653  ,155.96292599451232 ,92.44472399429789  ,215.10587388403576 ,69.95981248845955  ,275.69533409437844 ,152.37004666225508 ,90.47819803926633  ,209.98639628962692 ,68.4679409422998   ,276.882054658641   ,153.3711810486679  ,91.25586638106422  ,210.50223653853746 ,69.00325865008426  ,3130700  ,3792200  ,2782000 ,978100  ,2376800
2020-09-25 ,283.39501953125    ,156.8563232421875  ,92.61808013916016  ,217.1446533203125  ,69.9598159790039   ,284.1051981887287  ,157.30727174461998 ,92.81611776002387  ,217.77846129446957 ,70.11777869894165  ,277.2651374298078  ,153.6338842647486  ,91.01578574158519  ,211.70360275743465 ,68.83652850181174  ,278.0687366334598  ,153.86875536701052 ,91.15980873184505  ,212.73720462486372 ,68.99449122174948  ,2683800  ,2986000  ,4190100 ,959900  ,1736900
2020-09-28 ,288.14190673828125 ,159.70294189453125 ,94.02232360839844  ,220.98654174804688 ,71.03043365478516  ,288.7586362839051  ,159.99417973492027 ,94.49041371286535  ,221.19130406748621 ,71.40778857481294  ,286.33845688743077 ,158.66950342664174 ,93.6082481268904   ,219.35812930428585 ,70.68818229654133  ,287.2635654641905  ,159.07348913150503 ,93.63525200450952  ,220.72326102994782 ,70.70573072977339  ,2437900  ,3291300  ,2986400 ,822100  ,1344600
2020-09-29 ,286.49884033203125 ,158.81045532226562 ,93.23019409179688  ,220.5282440185547  ,70.47758483886719  ,288.57276354719914 ,159.92844418324742 ,94.1033562269895   ,221.76660819689255 ,71.13576178116612  ,285.888874708017   ,158.48164434488012 ,92.89713019317774  ,220.2552176738172  ,70.2055405118867   ,287.944011245437   ,159.56204579762613 ,94.02233771425655  ,220.95728966851925 ,71.04800619459068  ,2303900  ,2120600  ,1909000 ,900700  ,988700
2020-09-30 ,288.7041320800781  ,160.00360107421875 ,94.07635498046875  ,221.94212341308594 ,71.02167510986328  ,291.6132319965877  ,161.5631487669049  ,94.90450609092669  ,224.33111125892017 ,71.62719999598431  ,287.01499207086806 ,159.00774980925394 ,93.5182495620009   ,220.64524089590296 ,70.56534207510707  ,287.1932936831793  ,159.25201061572216 ,93.56326061119353  ,220.9182672280658  ,70.66186852671264  ,4304500  ,4786400  ,2935600 ,789600  ,1208800
2020-10-01 ,290.53399658203125 ,161.33767700195312 ,94.13935852050781  ,224.8966522216797  ,70.9953384399414   ,291.9509872055531  ,161.82621297957607 ,94.78747911588198  ,225.28668555703567 ,71.52187853796661  ,288.80731221767456 ,160.28545889820816 ,93.55424926814383  ,223.51201453870263 ,70.57410234432889  ,291.0595079695214  ,161.32828731723987 ,94.4724155331097   ,224.74063293601012 ,71.28493783721748  ,3005700  ,3234100  ,1823000 ,681100  ,1338300
2020-10-02 ,287.8313293457031  ,160.07876586914062 ,94.2293701171875   ,220.6647491455078  ,71.08309936523438  ,289.57677161935044 ,160.94308990232435 ,94.82347606160148  ,223.4340247576317  ,71.4692319240421   ,285.4758929716967  ,158.04947587711132 ,92.81610987744571  ,219.59213505970382 ,70.03878996045225  ,285.9544949156029  ,158.44405765299544 ,92.81610987744571  ,220.4794780871581  ,70.09144866094856  ,3125100  ,2325600  ,1755000 ,859800  ,1686000
2020-10-05 ,292.8612976074219  ,162.96299743652344 ,95.71464538574219  ,224.847900390625   ,72.24148559570312  ,293.0583858863396  ,163.0287539010554  ,95.8136641878743   ,225.03317143749507 ,72.32047029359295  ,289.68007742622274 ,160.96189074436163 ,94.85948362803052  ,222.0396275670305  ,71.53065679129796  ,289.68007742622274 ,161.22494527328283 ,94.91349825410687  ,222.0396275670305  ,71.56576035754671  ,2364500  ,2574200  ,1741600 ,626100  ,1386300
2020-10-06 ,288.7697448730469  ,160.95249938964844 ,94.81446838378906  ,221.09378051757812 ,71.71492767333984  ,294.96330418382377 ,164.39100193498575 ,96.74082270776029  ,225.83275856392365 ,73.18046604964351  ,288.2629915611797  ,160.66124713849624 ,94.66144184116524  ,220.45021210761084 ,71.6008394375492   ,293.0207736868501  ,163.21664625184414 ,95.99368342169774  ,224.69188052860966 ,72.49596341617564  ,3389800  ,2803300  ,1906900 ,655900  ,1828500
2020-10-07 ,293.72454833984375 ,163.76150512695312 ,96.30875396728516  ,224.8186798095703  ,72.86454772949219  ,294.48466388953807 ,164.15608681050762 ,96.65082142682242  ,225.43299654936595 ,73.04006553399157  ,291.47235305785256 ,162.47441623044972 ,95.5706181560981   ,223.11225764686725 ,72.26780058483362  ,291.4817177547386  ,162.52139331226655 ,95.5886253211902   ,223.2097734362642  ,72.2765781488885   ,1707800  ,1952400  ,1327700 ,725200  ,1098600
2020-10-08 ,296.323974609375   ,165.19895935058594 ,97.50597381591797  ,226.174072265625   ,73.75089263916016  ,296.39906401914834 ,165.2459364450285  ,97.53297769513577  ,226.8078951567326  ,73.77721863543725  ,294.7098959578738  ,164.29706221303357 ,96.7948419030581   ,225.40375107166943 ,73.11026438336621  ,295.563859005178   ,164.90772143459722 ,96.83084936458886  ,226.66162146855964 ,73.20679749992858  ,1731700  ,2335200  ,1266900 ,543800  ,1388500
2020-10-09 ,298.9609069824219  ,166.5894012451172  ,97.67700958251953  ,229.56741333007812 ,73.7947769165039   ,299.44890220266086 ,166.8806391513911  ,98.22611136382673  ,229.56741333007812 ,74.27744256373234  ,297.33746372861265 ,165.76265028377492 ,97.39795346675477  ,227.20767694477667 ,73.65436935251407  ,297.91927774823563 ,166.19480513327943 ,98.05507763491167  ,227.31493836587313 ,74.15458343449608  ,2794100  ,2489200  ,1108300 ,981700  ,1173000
2020-10-12 ,303.784423828125   ,169.0602569580078  ,98.38815307617188  ,234.71592712402344 ,74.39153289794922  ,305.19204965916384 ,169.7085036488891  ,98.61319459110572  ,236.5393562520439  ,74.59337674567296  ,300.9128694238634  ,167.61345692976386 ,97.75803271372386  ,231.6443584367771  ,73.83866675120868  ,301.36331999955536 ,167.8389240671849  ,97.94706676214166  ,232.6682146658592  ,73.92642232596289  ,2194300  ,2895800  ,1207300 ,769800  ,1215300
2020-10-13 ,301.8419189453125  ,168.16773986816406 ,97.46098327636719  ,234.4233856201172  ,73.7157974243164   ,303.793842967545   ,168.9381241049753  ,98.23512669284347  ,236.12980764326974 ,74.28621862440195  ,300.9598043918807  ,167.6322267764201  ,97.14592650634137  ,233.6433040051979  ,73.46130160596068  ,303.70938884709597 ,168.7971928166967  ,98.01008516172182  ,235.35947165496495 ,74.21601149616859  ,2229700  ,2448900  ,1609200 ,807600  ,1230400
2020-10-14 ,299.9556579589844  ,167.04969787597656 ,97.02888488769531  ,232.52195739746094 ,73.39987182617188  ,303.3902393704749  ,169.0320102842606  ,97.92905080349055  ,235.7007726389787  ,74.09315215096157  ,299.2893611932065  ,166.74907036016367 ,96.91186579102147  ,231.25432657591145 ,73.33844226297887  ,302.3767614952874  ,168.35558045444097 ,97.4339568027148   ,235.02795240175826 ,73.76844920532987  ,1902100  ,2155600  ,1571800 ,1209400 ,1082700
2020-10-15 ,299.59906005859375 ,167.10610961914062 ,97.27194213867188  ,231.43959045410156 ,73.56661987304688  ,300.01196588405423 ,167.2940179944195  ,97.31695318871105  ,231.9368852371675  ,73.58416830925195  ,295.81724019583993 ,164.56011455763033 ,95.87668886784357  ,228.45577711924741 ,72.61884363027025  ,296.2676620867293  ,164.9828797312151  ,96.04771574900401  ,229.0018446725282  ,72.76802877163668  ,2481700  ,2865300  ,1591600 ,948300  ,1372300
2020-10-16 ,299.3457336425781  ,166.80548095703125 ,97.54197692871094  ,230.4254913330078  ,73.75968170166016  ,302.36743857768647 ,168.4589685669916  ,98.04606763222527  ,234.03335229334633 ,74.05805196640719  ,299.2612795198289  ,166.80548095703125 ,97.34393933298152  ,230.36698781195253 ,73.54028943805655  ,300.9035098402525  ,167.679194687833   ,97.51497305069707  ,232.70721792708557 ,73.72457813604511  ,1669600  ,1910200  ,1989100 ,609500  ,1086500
2020-10-19 ,294.822509765625   ,164.41920471191406 ,96.21875           ,226.9444122314453  ,72.71537017822266  ,301.12867375594317 ,168.40262481957512 ,97.98307466073497  ,232.71699310775705 ,74.03172371990617  ,294.03421420839544 ,164.05280626898616 ,95.99370848407378  ,226.3203498361365  ,72.58373348499023  ,300.5749824712133  ,167.51950694805703 ,97.7040253786575   ,231.93691139391575 ,73.82987989757375  ,2229600  ,2713800  ,2270300 ,666900  ,1088000
2020-10-20 ,295.9862060546875  ,164.99224853515625 ,96.44377899169922  ,227.792724609375   ,72.89088439941406  ,299.04545563784995 ,166.62695657958534 ,97.37995240050712  ,230.2207248409499  ,73.50518676213186  ,295.3949985695268  ,164.63525420517794 ,96.29075242899476  ,226.77862887886388 ,72.71537326453505  ,296.0519021393106  ,165.2553030247801  ,96.65981689597146  ,227.78297898231563 ,73.10150579565362  ,3066600  ,2622900  ,1895200 ,945900  ,1671800
2020-10-21 ,295.4512634277344  ,164.42855834960938 ,96.13772583007812  ,227.50994873046875 ,72.51351928710938  ,297.9662146132466  ,166.02567891054278 ,96.82184700463604  ,230.02568932002652 ,73.13659243266255  ,295.2166591312153  ,164.42855834960938 ,96.08371120323955  ,227.1979101240872  ,72.51351928710938  ,295.98616809697074 ,165.02982777262173 ,96.3807676138277   ,227.92923386912182 ,72.83822220605386  ,2607700  ,3237200  ,1408900 ,592000  ,966800
2020-10-22 ,297.0746765136719  ,165.59356689453125 ,97.37995910644531  ,227.33441162109375 ,73.5490493774414   ,297.6283391069939  ,165.8754151696252  ,97.52398209663771  ,228.52403270890215 ,73.63681162609646  ,293.71512761683175 ,163.5830702241126  ,96.17373308344114  ,224.70164924992494 ,72.55739890364313  ,295.65765767967946 ,164.71985301067863 ,96.17373308344114  ,227.84146689101672 ,72.61882846050995  ,2362400  ,3762200  ,2199500 ,515200  ,1774000
2020-10-23 ,298.0882263183594  ,166.13844299316406 ,97.4789810180664   ,228.44606018066406 ,73.59294891357422  ,298.26652788248094 ,166.24178686621633 ,97.91105687011144  ,228.44606018066406 ,73.87377077169678  ,295.82663736554156 ,164.8419640730678  ,96.92087560247624  ,226.27159483650155 ,73.16294190792556  ,298.26652788248094 ,166.11025960373132 ,97.7220228263765   ,228.0852785209066  ,73.71580805804525  ,1429300  ,2412700  ,1089900 ,552800  ,1011700
2020-10-26 ,292.5986022949219  ,163.12269592285156 ,95.5976333618164   ,224.5651397705078  ,72.27658081054688  ,295.67661094124855 ,164.87013764056317 ,96.45279524425247  ,228.17300047750797 ,72.89087641061762  ,289.3704433928923  ,161.21554356273674 ,94.71547446398627  ,221.78610368495922 ,71.54819695952021  ,294.9540396840219  ,164.44735815346544 ,96.40778419391087  ,226.35931705804683 ,72.8470019793668   ,3335800  ,3873600  ,1702200 ,796200  ,2055600
