Price      ,Close              ,Close              ,Close              ,Close              ,Close              ,Close               ,High               ,High               ,High               ,High               ,High               ,High                ,Low                ,Low                ,Low                ,Low                ,Low                ,Low                 ,Open               ,Open               ,Open               ,Open               ,Open               ,Open                ,Volume    ,Volume    ,Volume    ,Volume    ,Volume    ,Volume
Ticker     ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL      ,AMZN      ,GOOGL     ,META      ,MSFT      ,NVDA
Date       ,                   ,                   ,                   ,                   ,                   ,                    ,                   ,                   ,                   ,                   ,                   ,                    ,                   ,                   ,                   ,                   ,                   ,                    ,                   ,                   ,                   ,                   ,                   ,                    ,          ,          ,          ,          ,          ,
2015-02-09 ,26.76618194580078  ,18.527999877929688 ,26.3684139251709   ,74.15673065185547  ,36.447044372558594 ,0.4891439378261566  ,26.79300963629944  ,18.720500946044922 ,26.597582719436044 ,74.54524594933025  ,36.77400177557221  ,0.4905839610731829  ,26.477772332843948 ,18.360000610351562 ,26.282226192028425 ,73.17049249639312  ,36.31798128967648  ,0.48362366750557706 ,26.504601729070643 ,18.549999237060547 ,26.4570912600954   ,73.76821535438067  ,36.34379587557923  ,0.4867438227834375  ,155559200 ,54492000  ,30314000  ,16194300  ,31381100  ,273944000
2015-02-10 ,27.28040885925293  ,18.649999618530273 ,26.910446166992188 ,74.90386962890625  ,36.65354537963867  ,0.5028246641159058  ,27.309474475171598 ,18.71500015258789  ,26.952294279989403 ,75.05329272908706  ,36.79981710840076  ,0.5030646584896031  ,26.86456415845133  ,18.425500869750977 ,26.362931454819364 ,74.21649296662996  ,36.29217395953982  ,0.48746387973397065 ,26.866798662961507 ,18.559499740600586 ,26.51139343207774  ,74.56515953432041  ,36.774005801882524 ,0.4896240007670425  ,248034000 ,45744000  ,47430000  ,15811300  ,29670700  ,226204000
2015-02-11 ,27.919824600219727 ,18.756999969482422 ,26.802837371826172 ,76.2188491821289   ,36.464256286621094 ,0.4994644820690155  ,27.92876773418781  ,18.854999542236328 ,26.999624233933478 ,76.45793375240656  ,36.69656788740599  ,0.5040246609941387  ,27.387720922081506 ,18.55500030517578  ,26.703198189682567 ,74.74447786463355  ,36.317984560699855 ,0.4961042749356861  ,27.4480849442056   ,18.561500549316406 ,26.889025102841348 ,74.8042471071126   ,36.69656788740599  ,0.5040246609941387  ,294247200 ,55730000  ,38306000  ,20877400  ,38262500  ,320832000
2015-02-12 ,28.2730712890625   ,18.85849952697754  ,27.201892852783203 ,75.93991088867188  ,37.07514953613281  ,0.5352261066436768  ,28.501116945548493 ,18.925500869750977 ,27.317971011670473 ,76.57747476743938  ,37.07514953613281  ,0.5400263361650618  ,28.07409124499383  ,18.657499313354492 ,26.753019549292606 ,75.60120080287359  ,36.57610905013987  ,0.5249056074503741  ,28.18364165329796  ,18.7549991607666   ,26.88553858233521  ,76.56751069423213  ,36.70517215023073  ,0.5280257623615993  ,297898000 ,55822000  ,48590000  ,17235000  ,33268800  ,676904000
2015-02-13 ,28.411684036254883 ,19.09149932861328  ,27.45846176147461  ,75.45177459716797  ,37.74626159667969  ,0.5354660153388977  ,28.456397996121098 ,19.149999618530273 ,27.527212778473398 ,76.18896405116438  ,37.74626159667969  ,0.5361860553743056  ,28.091974276599576 ,18.850500106811523 ,27.231284653170725 ,75.21269002848986  ,37.12676738428581  ,0.5258655578311128  ,28.456397996121098 ,18.920499801635742 ,27.276620110670343 ,76.16903590356371  ,37.3246616879043   ,0.5340259352680818  ,217088800 ,69502000  ,47382000  ,18621900  ,40264900  ,310084000
2015-02-17 ,28.579364776611328 ,18.771499633789062 ,27.15207290649414  ,75.31231689453125  ,37.76359939575195  ,0.5371461510658264  ,28.814117337065813 ,18.999500274658203 ,27.55012983518608  ,76.61733710408888  ,38.12754253325999  ,0.5397863172384554  ,28.375912330120336 ,18.633499145507812 ,27.064889330208565 ,74.79429900091826  ,37.425647946620174 ,0.5311458930493679  ,28.50334899575121  ,18.88599967956543  ,27.45846307510851  ,75.01346304834148  ,38.10154753931482  ,0.5345060421164445  ,252609600 ,73464000  ,39174000  ,25254400  ,33695700  ,203340000
2015-02-18 ,28.778348922729492 ,18.668500900268555 ,27.034496307373047 ,76.41808319091797  ,37.72026824951172  ,0.5309057831764221  ,28.791762771854323 ,18.836999893188477 ,27.27861219636436  ,76.60736258796074  ,37.86758092136497  ,0.5373861435234203  ,28.494409940911336 ,18.642499923706055 ,26.880057388228856 ,75.16287592698404  ,37.59895387596713  ,0.5299457488660952  ,28.53465319401436  ,18.68899917602539  ,27.0927852925211   ,75.6510167298458   ,37.80692373459268  ,0.5364260519898527  ,179566800 ,53012000  ,31164000  ,22426400  ,27111700  ,170948000
2015-02-19 ,28.717985153198242 ,18.950000762939453 ,27.223812103271484 ,79.1177749633789   ,37.69426345825195  ,0.5323460698127747  ,28.847658056030365 ,19.0939998626709   ,27.244238240274715 ,79.53617488004674  ,37.72025844423454  ,0.5385863810861066  ,28.691157453114794 ,18.671499252319336 ,26.939841667534907 ,76.65717303383524  ,37.3043221406737   ,0.5299459544940519  ,28.724692078219103 ,18.67449951171875  ,27.02553147878711  ,76.69702173071244  ,37.4169725892114   ,0.53762634640327    ,149449600 ,59076000  ,30834000  ,45851200  ,27603400  ,169432000
2015-02-20 ,28.952726364135742 ,19.183000564575195 ,26.992151260375977 ,79.59595489501953  ,38.006229400634766 ,0.5361860990524292  ,28.952726364135742 ,19.184999465942383 ,27.280106953478647 ,80.0342753773988   ,38.02356049902295  ,0.5364260933427017  ,28.628545940419233 ,18.79199981689453  ,26.807820011218396 ,78.89861407244354  ,37.512304666063095 ,0.5280257209507095  ,28.755980877099653 ,18.930999755859375 ,27.280106953478647 ,79.24728828391258  ,37.70294013719508  ,0.5318659157112968  ,195793600 ,65160000  ,38234000  ,36931700  ,29721100  ,157752000
2015-02-23 ,29.735240936279297 ,19.006999969482422 ,26.653379440307617 ,78.53997802734375  ,38.25751876831055  ,0.5318657159805298  ,29.735240936279297 ,19.226999282836914 ,26.867603015883287 ,79.88484680755626  ,38.29217765353817  ,0.5359459034991627  ,28.98850713302014  ,18.899999618530273 ,26.50392161793047  ,78.0817294268207   ,37.82425130006498  ,0.5292255508860081  ,29.068993635922478 ,19.172000885009766 ,26.852657803783366 ,79.65571870711395  ,37.867577385775846 ,0.5359459034991627  ,283896400 ,43540000  ,32906000  ,24139100  ,32518800  ,125008000
2015-02-24 ,29.5496768951416   ,18.929500579833984 ,26.835220336914062 ,78.1514663696289   ,38.20553207397461  ,0.5375277400016785  ,29.869388425817633 ,19.02400016784668  ,26.872583366116007 ,79.17755323184328  ,38.3875036486981   ,0.5375277400016785  ,29.326103638695233 ,18.808000564575195 ,26.45410033492084  ,77.80279976613953  ,38.058219390458675 ,0.5290950240311763  ,29.72182925781331  ,18.9325008392334   ,26.481501156641777 ,78.20127914171108  ,38.25752536913947  ,0.5339137352839116  ,276912400 ,38416000  ,28406000  ,18897100  ,25271700  ,149356000
2015-02-25 ,28.79399871826172  ,19.26849937438965  ,27.26765251159668  ,79.25724029541016  ,38.118873596191406 ,0.5334317684173584  ,29.422242445880048 ,19.392499923706055 ,27.379247478861704 ,79.89480423420899  ,38.20552576826213  ,0.5377686424193816  ,28.65091196800245  ,18.82699966430664  ,26.80333420765894  ,78.20127644684241  ,37.95422984146116  ,0.5310224131196438  ,29.413297605044153 ,18.863500595092773 ,26.82475808480435  ,78.20127644684241  ,38.084211405135726 ,0.5353592296781056  ,298846800 ,63490000  ,40836000  ,25593800  ,29759800  ,123820000
2015-02-26 ,29.15842056274414  ,19.239999771118164 ,27.863492965698242 ,80.10401916503906  ,38.17953872680664  ,0.5348774790763855  ,29.259027835041444 ,19.4685001373291   ,27.90534107972574  ,81.06036516129294  ,38.326848111110664 ,0.538009647211326   ,28.306607093059874 ,19.163999557495117 ,27.15605648948727  ,79.41664239258438  ,38.03222603693346  ,0.5305406043771276  ,28.793995102234582 ,19.203500747680664 ,27.18844031614615  ,79.57602959177883  ,38.118881532614495 ,0.533913748291074   ,365150000 ,53742000  ,54032000  ,31111900  ,28957300  ,152864000
